Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"domingo, 02/08",47%
PIRACICABA,3538709,407252,SP,"s�bado, 01/08",40%
PIRACICABA,3538709,407252,SP,"sexta-feira, 31/07",38%
PIRACICABA,3538709,407252,SP,"quinta-feira, 30/07",38%
PIRACICABA,3538709,407252,SP,"quarta-feira, 29/07",38%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 28/07",38%
PIRACICABA,3538709,407252,SP,"segunda-feira, 27/07",39%
PIRACICABA,3538709,407252,SP,"domingo, 26/07",46%
PIRACICABA,3538709,407252,SP,"s�bado, 25/07",40%
PIRACICABA,3538709,407252,SP,"sexta-feira, 24/07",37%
PIRACICABA,3538709,407252,SP,"quinta-feira, 23/07",37%
PIRACICABA,3538709,407252,SP,"quarta-feira, 22/07",38%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 21/07",38%
PIRACICABA,3538709,407252,SP,"segunda-feira, 20/07",38%
PIRACICABA,3538709,407252,SP,"domingo, 19/07",46%
PIRACICABA,3538709,407252,SP,"s�bado, 18/07",42%
PIRACICABA,3538709,407252,SP,"sexta-feira, 17/07",39%
PIRACICABA,3538709,407252,SP,"quinta-feira, 16/07",40%
PIRACICABA,3538709,407252,SP,"quarta-feira, 15/07",40%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 14/07",41%
PIRACICABA,3538709,407252,SP,"segunda-feira, 13/07",40%
PIRACICABA,3538709,407252,SP,"domingo, 12/07",47%
PIRACICABA,3538709,407252,SP,"s�bado, 11/07",42%
PIRACICABA,3538709,407252,SP,"sexta-feira, 10/07",39%
PIRACICABA,3538709,407252,SP,"quinta-feira, 09/07",40%
PIRACICABA,3538709,407252,SP,"quarta-feira, 08/07",40%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 07/07",40%
PIRACICABA,3538709,407252,SP,"segunda-feira, 06/07",40%
PIRACICABA,3538709,407252,SP,"domingo, 05/07",47%
PIRACICABA,3538709,407252,SP,"s�bado, 04/07",43%
PIRACICABA,3538709,407252,SP,"sexta-feira, 03/07",40%
