,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
agosto 2020,Cultura,7.5718390641521385,8.3607068470216,0.1758930998382933,4.491433987446244,0.32,3726528.27,0.6109140837346397,2.493411919946795,0.23,5650839.63,4.0,2020.0,2020-08-20,96.3108161467056
outubro 2020,Cultura,7.4586782322119465,7.861927566901428,0.9508814357564379,5.3751911219176565,0.34,2431332.33,0.6749969712703578,3.1311449498100243,0.23,4625381.49,5.0,2020.0,2020-10-20,97.77201500000001
fevereiro 2017,Patrimônio Histórico Artístico e Arqueológico,2.268407519450613,2.8285652946618867,0.05601328921696064,0.05601328921696064,0.01,2395602.15,0.020006590470042752,0.020006590470042752,0.01,2426713.46,1.0,2017.0,2017-02-20,86.40422777626367
abril 2017,Patrimônio Histórico Artístico e Arqueológico,2.2595686695510735,2.771430143673868,0.04757954149174012,0.10337457492726686,0.01,2314330.6,0.013777201184066602,0.03370583597434283,0.01,2374762.81,2.0,2017.0,2017-04-20,86.74221883194232
junho 2017,Patrimônio Histórico Artístico e Arqueológico,2.257744903890819,2.7691932392620044,0.03774684539852442,0.14103798360513023,0.01,2281561.7,0.04558852332864325,0.07926715431159612,0.01,2335186.37,3.0,2017.0,2017-06-20,86.81228763366008
agosto 2017,Patrimônio Histórico Artístico e Arqueológico,2.24804689612085,2.757298335854349,0.5823203273579738,0.7227524907668073,0.05,1773855.28,0.05234137910902494,0.13126804611530485,0.01,2289551.6,4.0,2017.0,2017-08-20,87.18679327295646
outubro 2017,Patrimônio Histórico Artístico e Arqueológico,2.235023330998491,2.7413245345512105,0.5789467826518974,0.7185653832170977,0.05,1773855.28,0.052038150844260216,0.13050757356910597,0.01,2289551.6,5.0,2017.0,2017-10-20,87.69483400087707
dezembro 2017,Patrimônio Histórico Artístico e Arqueológico,2.21895869850274,2.0366547350851154,-0.13388846961133982,1.3025182046460726,0.08,648460.74,0.3291824776380101,0.580585347024249,0.03,1286142.01,6.0,2017.0,2017-12-20,88.32971976100887
fevereiro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8439197611142584,0.8439197611142584,0.02600848181119329,0.02600848181119329,0.0,726886.0,0.0009836278645008534,0.0009836278645008534,0.0,749125.84,1.0,2018.0,2018-02-20,88.87100818799969
abril 2018,Patrimônio Histórico Artístico e Arqueológico,0.8413052808159311,0.8413052808159311,0.0018126202710272842,0.02774052728539986,0.0,725270.1,0.017800909219094427,0.0187814897847985,0.0,733256.83,2.0,2018.0,2018-04-20,89.14718795924118
