,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
outubro 2020,Transferências dos Estados e do Distrito Federal e de suas Entidades,56230.6976744186,56230.6976744186,8644.136673255814,15.37,43144.65756860465,76.73,13086.040105813954,5,2020,2020-10-20,0.86
fevereiro 2019,Transferências dos Municípios e de suas Entidades,261.6279069767442,261.6279069767442,18.171837209302325,6.95,18.171837209302325,6.95,243.45606976744187,1,2019,2019-02-20,0.43
abril 2019,Transferências dos Municípios e de suas Entidades,197.3684210526316,197.3684210526316,0.0,0.0,0.0,0.0,197.3684210526316,2,2019,2019-04-20,0.57
junho 2019,Transferências dos Municípios e de suas Entidades,11250.0,11250.0,3478.959,30.92,7377.182,65.57,3872.818,3,2019,2019-06-20,0.01
agosto 2019,Transferências dos Municípios e de suas Entidades,1022.7272727272727,1022.7272727272727,189.18818181818182,18.5,859.8410909090909,84.07,162.88618181818183,4,2019,2019-08-20,0.11
outubro 2019,Transferências dos Municípios e de suas Entidades,1125.0,1125.0,133.74629999999996,11.89,1079.5715,95.96,45.4285,5,2019,2019-10-20,0.1
dezembro 2019,Transferências dos Municípios e de suas Entidades,97.82608695652175,97.82608695652175,17.425095652173916,17.81,111.3008782608696,113.77,-13.474791304347828,6,2019,2019-12-20,1.15
fevereiro 2020,Transferências dos Municípios e de suas Entidades,474.0,474.0,112.47912,23.73,112.47912,23.73,361.52088,1,2020,2020-02-20,0.25
abril 2020,Transferências dos Municípios e de suas Entidades,-382.258064516129,-382.258064516129,-66.32796774193548,17.35,-157.036935483871,41.08,-225.22112903225806,2,2020,2020-04-20,-0.31
junho 2020,Transferências dos Municípios e de suas Entidades,455.7692307692308,455.7692307692308,75.99807692307692,16.67,263.23442307692306,57.76,192.53480769230768,3,2020,2020-06-20,0.26
agosto 2020,Transferências dos Municípios e de suas Entidades,493.75,493.75,69.820125,14.14,354.99075,71.9,138.75925,4,2020,2020-08-20,0.24
outubro 2020,Transferências dos Municípios e de suas Entidades,137.7906976744186,137.7906976744186,23.17876744186047,16.82,122.24595348837208,88.72,15.54474418604651,5,2020,2020-10-20,0.86
fevereiro 2019,Transferências de Outras Instituições Públicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019,2019-02-20,0.43
abril 2019,Transferências de Outras Instituições Públicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2019,2019-04-20,0.57
junho 2019,Transferências de Outras Instituições Públicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2019,2019-06-20,0.01
agosto 2019,Transferências de Outras Instituições Públicas,139800.0,139800.0,24445.113136363638,17.49,101889.57962727272,72.88,37910.42037272726,4,2019,2019-08-20,0.11
outubro 2019,Transferências de Outras Instituições Públicas,153780.0,153780.0,26622.9132,17.31,138701.45079,90.19,15078.54921,5,2019,2019-10-20,0.1
dezembro 2019,Transferências de Outras Instituições Públicas,13372.17391304348,13372.17391304348,2774.6170443478263,20.75,14835.612765217395,110.94,-1463.4388521739133,6,2019,2019-12-20,1.15
fevereiro 2020,Transferências de Outras Instituições Públicas,67200.0,67200.0,14042.111747999998,20.9,14042.111747999998,20.9,53157.888252,1,2020,2020-02-20,0.25
abril 2020,Transferências de Outras Instituições Públicas,-54193.54838709677,-54193.54838709677,-8721.359216129033,16.09,-20045.64288387097,36.99,-34147.905503225804,2,2020,2020-04-20,-0.31
junho 2020,Transferências de Outras Instituições Públicas,64615.38461538461,64615.38461538461,8756.64368076923,13.55,32657.21788846154,50.54,31958.16672692307,3,2020,2020-06-20,0.26
agosto 2020,Transferências de Outras Instituições Públicas,70000.0,70000.0,10087.0918125,14.41,45465.744525,64.95,24534.255475,4,2020,2020-08-20,0.24
outubro 2020,Transferências de Outras Instituições Públicas,19534.883720930233,19534.883720930233,3496.8801244186047,17.9,16184.994875581397,82.85,3349.8888453488375,5,2020,2020-10-20,0.86
fevereiro 2019,"Multas Administrativas, Contratuais e Judiciais",4126.209302325581,4126.209302325581,675.8663418604651,16.38,675.8663418604651,16.38,3450.3429604651164,1,2019,2019-02-20,0.43
abril 2019,"Multas Administrativas, Contratuais e Judiciais",3112.754385964912,3112.754385964912,370.7895263157895,11.91,880.6536087719298,28.29,2232.1007771929826,2,2019,2019-04-20,0.57
junho 2019,"Multas Administrativas, Contratuais e Judiciais",177427.0,177427.0,27003.6448,15.22,77200.9005,43.51,100226.09949999998,3,2019,2019-06-20,0.01
agosto 2019,"Multas Administrativas, Contratuais e Judiciais",16129.727272727272,16129.727272727272,2940.900918181818,18.23,9959.1646,61.74,6170.562672727273,4,2019,2019-08-20,0.11
outubro 2019,"Multas Administrativas, Contratuais e Judiciais",17742.7,17742.7,3190.09483,17.98,14145.17589,79.72,3597.52411,5,2019,2019-10-20,0.1
dezembro 2019,"Multas Administrativas, Contratuais e Judiciais",1542.8434782608697,1542.8434782608697,254.86377130434784,16.52,1484.8790660869568,96.24,57.96441217391305,6,2019,2019-12-20,1.15
fevereiro 2020,"Multas Administrativas, Contratuais e Judiciais",9667.88,9667.88,941.31344,9.74,941.31344,9.74,8726.56656,1,2020,2020-02-20,0.25
abril 2020,"Multas Administrativas, Contratuais e Judiciais",-7796.677419354838,-7796.677419354838,-403.14389677419354,5.17,-1162.2676387096774,14.91,-6634.409780645162,2,2020,2020-04-20,-0.31
junho 2020,"Multas Administrativas, Contratuais e Judiciais",9296.038461538461,9296.038461538461,1047.4158,11.27,2433.1964461538464,26.17,6862.842015384614,3,2020,2020-06-20,0.26
agosto 2020,"Multas Administrativas, Contratuais e Judiciais",10070.708333333334,10070.708333333334,801.9522291666667,7.96,3437.9150458333334,34.14,6632.7932875,4,2020,2020-08-20,0.24
outubro 2020,"Multas Administrativas, Contratuais e Judiciais",2810.43023255814,2810.43023255814,226.0091465116279,8.04,1185.4272988372093,42.18,1625.0029337209303,5,2020,2020-10-20,0.86
fevereiro 2019,"Indenizações, Restituições e Ressarcimentos",397.79069767441865,397.79069767441865,44.254748837209306,11.13,44.254748837209306,11.13,353.5359488372093,1,2019,2019-02-20,0.43
abril 2019,"Indenizações, Restituições e Ressarcimentos",300.08771929824564,300.08771929824564,11.307196491228073,3.77,44.69235789473685,14.89,255.3953614035088,2,2019,2019-04-20,0.57
junho 2019,"Indenizações, Restituições e Ressarcimentos",17105.0,17105.0,1768.2825,10.34,4315.7469,25.23,12789.2531,3,2019,2019-06-20,0.01
agosto 2019,"Indenizações, Restituições e Ressarcimentos",1555.0,1555.0,284.1404,18.27,676.4810272727273,43.5,878.5189727272727,4,2019,2019-08-20,0.11
outubro 2019,"Indenizações, Restituições e Ressarcimentos",1710.5,1710.5,194.27527,11.36,938.4044,54.86,772.0956,5,2019,2019-10-20,0.1
dezembro 2019,"Indenizações, Restituições e Ressarcimentos",148.73913043478262,148.73913043478262,5.3563095652173915,3.6,86.95669217391304,58.46,61.78243826086957,6,2019,2019-12-20,1.15
fevereiro 2020,"Indenizações, Restituições e Ressarcimentos",574.2,574.2,36.547976,6.37,36.547976,6.37,537.652024,1,2020,2020-02-20,0.25
abril 2020,"Indenizações, Restituições e Ressarcimentos",-463.06451612903226,-463.06451612903226,-19.170590322580647,4.14,-48.64476451612902,10.5,-414.4197516129032,2,2020,2020-04-20,-0.31
