,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
junho 2019,JUROS E ENCARGOS DA DÍVIDA,5.67705103413776,5.226516909063064,,3.807633314995569,1.418883594067496,0.6680461584542288,1.7706149644499134,3.455901944613151,1.7706149644499134,3,2019,2019-06-20,94.99835332762892
agosto 2019,JUROS E ENCARGOS DA DÍVIDA,5.660031746072008,5.210848281756216,1.3643422981554427,5.160560671159653,0.05028761059656239,1.1092781801721194,2.8745850003139592,2.336263281442257,2.8745850003139592,4,2019,2019-08-20,95.28400620266395
outubro 2019,JUROS E ENCARGOS DA DÍVIDA,5.656633463011666,5.302117444781361,0.06502956547419775,5.222491836006887,0.07962560877447532,1.4496220714660366,4.322481170945807,0.9796362738355547,4.019872244843068,5,2019,2019-10-20,95.34124908861676
dezembro 2019,JUROS E ENCARGOS DA DÍVIDA,5.563065109078278,5.214413264386128,-0.02507059484348244,5.111034175831871,0.10337908855425611,0.860052678803089,5.111034175831871,0.10337908855425611,5.111034175831871,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,JUROS E ENCARGOS DA DÍVIDA,5.64726130608914,5.64726130608914,5.64726130608914,5.64726130608914,0.0,1.220991851391315,1.220991851391315,4.426269454697826,1.220991851391315,1,2020,2020-02-20,97.3923412056326
abril 2020,JUROS E ENCARGOS DA DÍVIDA,5.660802478666721,5.660802478666721,0.0,5.660802478666721,0.0,1.3478308741649243,2.5717504564472606,3.0890520222194606,2.52900844382367,2,2020,2020-04-20,97.15936955453364
junho 2020,JUROS E ENCARGOS DA DÍVIDA,5.667539512912632,5.667539512912632,0.0,5.667539512912632,0.0,0.5301060641943237,3.1049172122948114,2.56262230061782,3.1049172122948114,3,2020,2020-06-20,97.04387569718891
agosto 2020,JUROS E ENCARGOS DA DÍVIDA,5.633583243376547,5.4287256708901275,-0.5112484987667116,5.1223347446098355,0.3063909262802917,0.4831096108678502,3.569424146373607,1.8593015245165203,3.569424146373607,4,2020,2020-08-20,97.62880501439999
outubro 2020,JUROS E ENCARGOS DA DÍVIDA,5.549389567147614,5.246695590757744,0.18363434567652104,5.2294160024215515,0.01727958833619211,0.9730076682474018,4.4890869135304206,0.7576086772273232,4.441576238522853,5,2020,2020-10-20,99.11
fevereiro 2016,OUTRAS DESPESAS CORRENTES,823.6510621092161,840.910986574547,564.9163587347188,564.9163587347188,275.99462783982824,101.54550742373516,101.54550742373516,739.3654791508119,91.34424355656373,1,2016,2016-02-20,83.58951401542743
