,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
dezembro 2018,Saúde,431.02528006286434,451.4732991236314,50.90261128176585,425.7934347547863,25.02,23860795.17,77.3643159225053,406.6275437419964,24.86,41669043.42,6.0,2018.0,2018-12-20,92.9163597878966
fevereiro 2019,Saúde,445.35512410048494,449.80364578498865,208.29625975658774,208.29625975658774,26.67,226092454.09,65.51366570876257,65.51366570876257,28.31,359761521.61,1.0,2019.0,2019-02-20,93.61720061986506
abril 2019,Saúde,439.4954753939138,461.6586605763313,63.31417516971818,268.86982896262356,26.57,182889834.54,69.53893412608822,134.19062015670417,26.65,310653761.57,2.0,2019.0,2019-04-20,94.86536798275618
junho 2019,Saúde,438.8802388627742,464.26508642621764,44.43139873638639,312.92484489154003,25.9,143770737.38,75.43600427772662,209.43877501099206,25.76,242080799.69,3.0,2019.0,2019-06-20,94.99835332762892
agosto 2019,Saúde,437.5645154058851,463.26577226520817,38.99271532619632,350.9794396959876,25.38,106990916.09,72.93976198080651,281.7506583938054,25.82,172954872.36,4.0,2019.0,2019-08-20,95.28400620266395
outubro 2019,Saúde,437.3018016708354,462.99418289528546,40.766849890831345,391.5355615312254,25.03,68129542.19,69.51504283145904,351.0965381299647,25.45,106684612.22,5.0,2019.0,2019-10-20,95.34124908861676
dezembro 2019,Saúde,430.06823951376754,457.1768063443523,46.091064475264865,431.15009924575577,24.22,25231551.57,72.2159244744151,417.50485188338376,24.26,38459915.85,6.0,2019.0,2019-12-20,96.94484774587804
fevereiro 2020,Saúde,452.07764239939667,463.07365209320676,213.2352625567536,213.2352625567536,26.0,243323456.8,71.1383225131804,71.1383225131804,28.95,381714993.49,1.0,2020.0,2020-02-20,97.3923412056326
abril 2020,Saúde,453.16164773267127,492.5092940742239,51.757890968790754,265.5044554351608,25.22,220556470.08,67.15753854637411,138.4664386634263,26.29,343985806.27,2.0,2020.0,2020-04-20,97.15936955453364
junho 2020,Saúde,453.70096447287085,507.41394297410966,64.3972266060374,330.21766420370074,26.43,171958136.51,84.80371244322006,223.43494278462845,27.18,275584227.95,3.0,2020.0,2020-06-20,97.04387569718891
agosto 2020,Saúde,450.9826786623667,528.1584241596988,42.792381391780744,371.03159269087797,26.55,153401047.92,67.88592618769064,289.9821897935169,27.01,232528611.44,4.0,2020.0,2020-08-20,97.62880501439999
outubro 2020,Saúde,444.24276056906467,526.188728897185,42.948528776107345,408.4350691554838,26.41,116705652.17,67.11550567046716,352.76392323680756,26.53,171881324.89,5.0,2020.0,2020-10-20,99.11
fevereiro 2017,Educação,397.5351379094906,398.7904189610654,119.88691195049579,119.88691195049579,17.1,244282231.6,44.141654505229695,44.141654505229695,20.2,310624963.25,1.0,2017.0,2017-02-20,87.5866475177533
abril 2017,Educação,395.9861422446263,398.34533149303,63.59467480255579,183.01444740063644,18.78,189338861.32,63.63886342449922,107.6085199729493,21.86,255642738.24,2.0,2017.0,2017-04-20,87.92926389451829
junho 2017,Educação,395.6665299496364,398.8192669355107,60.488892105257015,243.355623054963,20.68,136808459.9,69.85840431131045,177.38007021953396,22.29,194867138.76,3.0,2017.0,2017-06-20,88.00029156985306
agosto 2017,Educação,393.9669681102295,397.2100599210245,41.80684023095739,284.11714380842517,21.01,99951431.3,56.82769870886883,233.445843479579,22.0,144734687.12,4.0,2017.0,2017-08-20,88.37992222296648
outubro 2017,Educação,391.6846071532159,394.90891082508523,41.56464149958419,282.4711736415427,21.01,99951431.3,56.498479938492714,232.09342634346564,22.0,144734687.12,5.0,2017.0,2017-10-20,88.89491535821291
dezembro 2017,Educação,388.86930353607283,402.2486146062374,58.45301106790277,388.85886498605265,22.77,11988979.54,90.57321488546773,383.6447766392638,23.43,16657595.48,6.0,2017.0,2017-12-20,89.53848936746968
fevereiro 2018,Educação,422.44177038681835,422.96055307386143,132.9360533909784,132.9360533909784,16.93,261274908.12,43.97686323233067,43.97686323233067,19.61,341415738.5,1.0,2018.0,2018-02-20,90.08718518803816
abril 2018,Educação,421.1330373333245,427.06741551367594,63.2008906153551,195.72510545420718,19.6,209057439.41,62.55271110959302,106.39333314009266,21.56,289784011.1,2.0,2018.0,2018-04-20,90.36714440875939
junho 2018,Educação,414.163454018673,420.21727724262115,50.61024252006315,243.09617576904537,20.74,162752774.87,69.16188380193744,173.79444983589482,22.65,226432641.95,3.0,2018.0,2018-06-20,91.88785159755834
agosto 2018,Educação,413.1682316635697,419.6095717075319,46.60418987477843,289.1162128263361,21.61,120196372.23,58.78604841650876,232.16287540328142,22.53,172655628.42,4.0,2018.0,2018-08-20,92.10918721115112
outubro 2018,Educação,409.3346915429024,421.7678423226599,43.36129688192233,329.79497383917044,21.96,85508846.9,65.268189696689,295.2769650768286,22.84,117600866.81,5.0,2018.0,2018-10-20,92.97181691723601
dezembro 2018,Educação,409.5790029535499,427.1462132459684,63.131377643187705,393.1231896124942,23.1,31612955.05,92.44015239734823,387.8933535307829,23.72,36472328.36,6.0,2018.0,2018-12-20,92.9163597878966
fevereiro 2019,Educação,426.24218344265114,426.24218344265114,115.57463951452638,115.57463951452638,14.8,290838257.86,44.8708334706244,44.8708334706244,19.39,357029181.81,1.0,2019.0,2019-02-20,93.61720061986506
abril 2019,Educação,420.6340084745503,421.4876520087716,80.38456412656447,194.43855921533836,19.22,215390957.38,63.62478001558097,107.90523671252399,21.43,297481112.2,2.0,2019.0,2019-04-20,94.86536798275618
junho 2019,Educação,420.0451755451071,422.7292347847512,52.13469488170144,246.301065391151,20.38,167603855.73,73.88487824408047,181.6390616528877,22.34,229031694.51,3.0,2019.0,2019-06-20,94.99835332762892
