,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
abril 2018,RECEITA DE SERVIÇOS,261.80279519496213,261.80279519496213,43.254866263330925,16.52,85.66679628585909,32.72,176.13599890910302,2,2018,2018-04-20,90.36714440875939
junho 2018,RECEITA DE SERVIÇOS,257.4700636556036,257.4700636556036,44.91771161520631,17.45,129.16675668925294,50.17,128.30330696635062,3,2018,2018-06-20,91.88785159755834
agosto 2018,RECEITA DE SERVIÇOS,256.85137081674105,256.85137081674105,43.862951735078155,17.08,172.71932458300952,67.24,84.13204623373154,4,2018,2018-08-20,92.10918721115112
outubro 2018,RECEITA DE SERVIÇOS,254.46820105775498,254.46820105775498,42.567526764837325,16.73,213.68429236663582,83.97,40.78390869111915,5,2018,2018-10-20,92.97181691723601
dezembro 2018,RECEITA DE SERVIÇOS,254.62008040355636,254.62008040355636,43.2884316624287,17.0,257.1002614989636,100.97,-2.4801810954072554,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,RECEITA DE SERVIÇOS,276.822526505892,276.822526505892,42.17711660737427,15.24,42.17711660737427,15.24,234.64540989851767,1,2019,2019-02-20,93.61720061986506
abril 2019,RECEITA DE SERVIÇOS,273.1803033190223,273.1803033190223,43.556936128167315,15.94,85.17911786805922,31.18,188.00118545096308,2,2019,2019-04-20,94.86536798275618
junho 2019,RECEITA DE SERVIÇOS,272.7978864078151,272.7978864078151,42.04192370814944,15.41,127.10180188447872,46.59,145.69608452333642,3,2019,2019-06-20,94.99835332762892
agosto 2019,RECEITA DE SERVIÇOS,271.9800628961743,271.9800628961743,42.15239472044478,15.5,168.873156842036,62.09,103.10690605413828,4,2019,2019-08-20,95.28400620266395
outubro 2019,RECEITA DE SERVIÇOS,271.8167660664114,271.8167660664114,44.01428833913845,16.19,212.78605373780647,78.28,59.0307123286049,5,2019,2019-10-20,95.34124908861676
dezembro 2019,RECEITA DE SERVIÇOS,267.3205498030388,267.3205498030388,45.53674227816507,17.03,254.8030274259757,95.32,12.517522377063063,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,RECEITA DE SERVIÇOS,280.25201635076263,280.25201635076263,41.49585115185906,14.81,41.49585115185906,14.81,238.75616519890357,1,2020,2020-02-20,97.3923412056326
